python_solutions,label
"def factorial(n):
    return 1 if n == 0 else n * factorial(n - 1)
print(factorial(5))",1
"fruits = [""apple"", ""banana"", ""cherry""]
print("", "".join(fruits))",1
"def reverse_string(s):
    return s[::-1]
print(reverse_string(""hello""))",1
"nums = [3, 1, 4, 1, 5, 9]
print(sorted(nums))",1
"from datetime import datetime
now = datetime.now()
print(now.strftime(""%Y-%m-%d %H:%M:%S""))",1
"squares = [x ** 2 for x in range(10)]
print(squares)",1
"def fibonacci(n):
    a, b = 0, 1
    for _ in range(n):
        print(a, end="" "")
        a, b = b, a + b
print(fibonacci(10))",1
"import random
print(random.choice([""rock"", ""paper"", ""scissors""]))",1
"def count_vowels(s):
    return sum(1 for c in s.lower() if c in ""aeiou"")
print(count_vowels(""hello world""))",1
"ages = {""Alice"": 25, ""Bob"": 30, ""Charlie"": 22}
print(max(ages, key=ages.get))",1
"sentence = ""Python is fun""
print(sentence.split())",1
"def is_even(n):
    return n % 2 == 0
print(is_even(10))",1
"matrix = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]
for row in matrix:
    print(row)",1
"import math
print(math.sqrt(16))",1
"def celsius_to_kelvin(c):
    return c + 273.15
print(celsius_to_kelvin(25))",1
"word = ""level""
print(word == word[::-1])",1
"def unique_elements(lst):
    return list(set(lst))
print(unique_elements([1, 2, 2, 3, 4, 4]))",1
"import time
time.sleep(2)
print(""Done!"")",1
"colors = [""red"", ""green"", ""blue""]
for i, color in enumerate(colors):
    print(f""{i}: {color}"")",1
"evens = list(filter(lambda x: x % 2 == 0, range(10)))
print(evens)",1
"def greet():
    print(""Hello, welcome!"")
greet()",1
"nums = [2, 4, 6, 8]
print(max(nums))",1
"temp_c = 25
temp_f = (temp_c * 9/5) + 32
print(f""{temp_c}C is {temp_f}F"")",1
"from math import pi
radius = 5
area = pi * radius**2
print(f""Area of circle: {area}"")",1
"def square_root(n):
    return n ** 0.5",1
"names = [""Anna"", ""Eve"", ""Liam""]
print(sorted(names))",1
"text = ""hello world""
capitalized = text.title()
print(capitalized)",1
"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True",1
"print(list(range(1, 11)))",1
"def sum_digits(n):
    return sum(int(digit) for digit in str(n))",1
"pets = {""dog"": ""bark"", ""cat"": ""meow""}
for pet, sound in pets.items():
    print(f""A {pet} goes {sound}"")",1
"for i in range(1, 6):
    print(""*"" * i)",1
"def even_numbers(n):
    return [i for i in range(n) if i % 2 == 0]",1
"password = ""P@ssw0rd""
print(""Valid"" if len(password) >= 8 else ""Too short"")",1
"words = [""hello"", ""world"", ""python""]
print(len(words))",1
"def convert_km_to_miles(km):
    return km * 0.621371",1
"from random import randint
print(randint(1, 100))",1
"word = ""radar""
print(f""Is {word} a palindrome?"", word == word[::-1])",1
"scores = [85, 90, 78, 92]
average = sum(scores) / len(scores)
print(f""Average score: {average}"")",1
sum = (23 + 69 * 3,0
"while var49 < 13:
print(var49)
var49 += 1",0
"divide = lambda var21: var21 / 0
print(divide(31))",0
"multiplval98 = lambda var39, val98: var39 * val98
print(multiplval98(3))",0
"while var15 < 28:
print(var15)
var15 += 1",0
sum = (38 + 60 * 3,0
"while var75 >< 5:
    print(""Looping"")",0
